날짜,요일,홈,방문,구장,관중수
2025/03/22,토,KT,한화,수원,18700
2025/03/22,토,LG,롯데,잠실,23750
2025/03/22,토,KIA,NC,광주,20500
2025/03/22,토,SSG,두산,문학,23000
2025/03/22,토,삼성,키움,대구,24000
2025/03/23,일,KT,한화,수원,18700
2025/03/23,일,LG,롯데,잠실,23750
2025/03/23,일,KIA,NC,광주,20500
2025/03/23,일,SSG,두산,문학,23000
2025/03/23,일,삼성,키움,대구,24000
2025/03/25,화,LG,한화,잠실,23750
2025/03/25,화,SSG,롯데,문학,13860
2025/03/25,화,삼성,NC,대구,21024
2025/03/25,화,KT,두산,수원,8141
2025/03/25,화,KIA,키움,광주,15053
2025/03/26,수,LG,한화,잠실,23750
2025/03/26,수,SSG,롯데,문학,14855
2025/03/26,수,삼성,NC,대구,24000
2025/03/26,수,KT,두산,수원,9607
2025/03/26,수,KIA,키움,광주,17780
2025/03/27,목,LG,한화,잠실,23750
2025/03/27,목,SSG,롯데,문학,14155
2025/03/27,목,삼성,NC,대구,20781
2025/03/27,목,KT,두산,수원,9024
2025/03/27,목,KIA,키움,광주,12288
2025/03/28,금,한화,KIA,대전(신),17000
2025/03/28,금,롯데,KT,사직,22665
2025/03/28,금,NC,LG,창원,15510
2025/03/28,금,키움,SSG,고척,11002
2025/03/28,금,두산,삼성,잠실,23750
2025/03/29,토,한화,KIA,대전(신),17000
2025/03/29,토,롯데,KT,사직,22665
2025/03/29,토,NC,LG,창원,17943
2025/03/29,토,키움,SSG,고척,13785
2025/03/29,토,두산,삼성,잠실,23750
2025/03/30,일,한화,KIA,대전(신),17000
2025/03/30,일,롯데,KT,사직,22665
2025/03/30,일,키움,SSG,고척,13081
2025/03/30,일,두산,삼성,잠실,23750
2025/04/02,수,KT,LG,수원,7829
2025/04/02,수,한화,롯데,대전(신),16252
2025/04/02,수,KIA,삼성,광주,12172
2025/04/02,수,두산,키움,잠실,8336
2025/04/03,목,KT,LG,수원,8627
2025/04/03,목,한화,롯데,대전(신),16559
2025/04/03,목,KIA,삼성,광주,12826
2025/04/03,목,두산,키움,잠실,9131
2025/04/04,금,삼성,한화,대구,24000
2025/04/04,금,LG,KIA,잠실,23750
2025/04/04,금,SSG,KT,문학,13323
2025/04/04,금,키움,NC,고척,5161
2025/04/04,금,롯데,두산,사직,17293
2025/04/05,토,삼성,한화,대구,24000
2025/04/05,토,키움,NC,고척,8895
2025/04/05,토,롯데,두산,사직,21807
2025/04/06,일,삼성,한화,대구,24000
2025/04/06,일,LG,KIA,잠실,23750
2025/04/06,일,SSG,KT,문학,18679
2025/04/06,일,키움,NC,고척,7041
2025/04/06,일,롯데,두산,사직,22665
2025/04/08,화,두산,한화,잠실,20986
2025/04/08,화,롯데,KIA,사직,14038
2025/04/08,화,키움,LG,고척,10452
2025/04/08,화,KT,NC,수원,5233
2025/04/08,화,삼성,SSG,대구,19327
2025/04/09,수,두산,한화,잠실,19300
2025/04/09,수,롯데,KIA,사직,13551
2025/04/09,수,키움,LG,고척,9967
2025/04/09,수,KT,NC,수원,3667
2025/04/09,수,삼성,SSG,대구,20632
2025/04/10,목,두산,한화,잠실,21561
2025/04/10,목,롯데,KIA,사직,13726
2025/04/10,목,키움,LG,고척,10627
2025/04/10,목,KT,NC,수원,5086
2025/04/10,목,삼성,SSG,대구,21291
2025/04/11,금,NC,롯데,사직,13728
2025/04/11,금,LG,두산,잠실,23750
2025/04/11,금,KIA,SSG,광주,20500
2025/04/11,금,KT,삼성,수원,17416
2025/04/11,금,한화,키움,대전(신),17000
2025/04/12,토,NC,롯데,사직,15222
2025/04/12,토,LG,두산,잠실,22938
2025/04/12,토,한화,키움,대전(신),15457
2025/04/13,일,NC,롯데,사직,21003
2025/04/13,일,LG,두산,잠실,23750
2025/04/13,일,KIA,SSG,광주,20500
2025/04/13,일,KT,삼성,수원,18700
2025/04/13,일,한화,키움,대전(신),17000
2025/04/15,화,SSG,한화,문학,15618
2025/04/15,화,KIA,KT,광주,10979
2025/04/15,화,LG,삼성,잠실,23750
2025/04/15,화,롯데,키움,사직,9714
2025/04/16,수,SSG,한화,문학,16785
2025/04/16,수,KIA,KT,광주,12423
2025/04/16,수,LG,삼성,잠실,23750
2025/04/16,수,롯데,키움,사직,11679
2025/04/17,목,SSG,한화,문학,18098
2025/04/17,목,KIA,KT,광주,12104
2025/04/17,목,LG,삼성,잠실,23750
2025/04/17,목,롯데,키움,사직,11812
2025/04/18,금,두산,KIA,잠실,23750
2025/04/18,금,키움,KT,고척,4666
2025/04/18,금,SSG,LG,문학,18091
2025/04/18,금,삼성,롯데,대구,24000
2025/04/18,금,한화,NC,대전(신),17000
2025/04/19,토,두산,KIA,잠실,23750
2025/04/19,토,키움,KT,고척,8281
2025/04/19,토,SSG,LG,문학,18727
2025/04/19,토,삼성,롯데,대구,24000
2025/04/19,토,한화,NC,대전(신),17000
2025/04/20,일,두산,KIA,잠실,23750
2025/04/20,일,키움,KT,고척,6859
2025/04/20,일,SSG,LG,문학,23000
2025/04/20,일,삼성,롯데,대구,24000
2025/04/20,일,한화,NC,대전(신),17000
2025/04/22,화,LG,NC,잠실,12941
2025/04/22,화,키움,두산,고척,6809
2025/04/22,화,KT,SSG,수원,5497
2025/04/23,수,롯데,한화,사직,19376
2025/04/23,수,삼성,KIA,대구,22257
2025/04/23,수,LG,NC,잠실,17828
2025/04/23,수,키움,두산,고척,6801
2025/04/23,수,KT,SSG,수원,7581
2025/04/24,목,롯데,한화,사직,22669
2025/04/24,목,삼성,KIA,대구,24000
2025/04/24,목,LG,NC,잠실,19325
2025/04/24,목,키움,두산,고척,7690
2025/04/24,목,KT,SSG,수원,7815
2025/04/25,금,한화,KT,대전(신),17000
2025/04/25,금,KIA,LG,광주,20500
2025/04/25,금,두산,롯데,잠실,23750
2025/04/25,금,삼성,NC,대구,24000
2025/04/25,금,SSG,키움,문학,12140
2025/04/26,토,한화,KT,대전(신),17000
2025/04/26,토,KIA,LG,광주,20500
2025/04/26,토,두산,롯데,잠실,23750
2025/04/26,토,삼성,NC,대구,24000
2025/04/26,토,SSG,키움,문학,18641
2025/04/27,일,한화,KT,대전(신),17000
2025/04/27,일,KIA,LG,광주,20500
2025/04/27,일,두산,롯데,잠실,23750
2025/04/27,일,삼성,NC,대구,24000
2025/04/27,일,SSG,키움,문학,16422
2025/04/29,화,두산,KT,잠실,14138
2025/04/29,화,한화,LG,대전(신),17000
2025/04/29,화,키움,롯데,고척,13203
2025/04/29,화,KIA,NC,광주,10575
2025/04/29,화,SSG,삼성,문학,15481
2025/04/30,수,두산,KT,잠실,17158
2025/04/30,수,한화,LG,대전(신),17000
2025/04/30,수,키움,롯데,고척,14367
2025/04/30,수,KIA,NC,광주,15139
2025/04/30,수,SSG,삼성,문학,18998
2025/05/01,목,두산,KT,잠실,19883
2025/05/01,목,키움,롯데,고척,16000
2025/05/01,목,SSG,삼성,문학,22993
2025/05/02,금,KIA,한화,광주,20500
2025/05/02,금,롯데,NC,사직,22669
2025/05/02,금,삼성,두산,대구,24000
2025/05/02,금,LG,SSG,잠실,23750
2025/05/02,금,KT,키움,수원,12275
2025/05/03,토,롯데,NC,사직,22669
2025/05/03,토,삼성,두산,대구,24000
2025/05/03,토,LG,SSG,잠실,23750
2025/05/03,토,KT,키움,수원,15210
2025/05/04,일,KIA,한화,광주,20500
2025/05/04,일,롯데,NC,사직,22669
2025/05/04,일,삼성,두산,대구,24000
2025/05/04,일,LG,SSG,잠실,23750
2025/05/04,일,KT,키움,수원,15160
2025/05/05,월,키움,KIA,고척,16000
2025/05/05,월,두산,LG,잠실,23750
2025/05/05,월,KT,NC,수원,12015
2025/05/05,월,롯데,SSG,사직,22669
2025/05/05,월,한화,삼성,대전(신),17000
2025/05/06,화,키움,KIA,고척,16000
2025/05/06,화,두산,LG,잠실,23750
2025/05/06,화,KT,NC,수원,9743
2025/05/06,화,롯데,SSG,사직,22669
2025/05/06,화,한화,삼성,대전(신),17000
2025/05/07,수,키움,KIA,고척,16000
2025/05/07,수,두산,LG,잠실,23750
2025/05/07,수,KT,NC,수원,3598
2025/05/07,수,롯데,SSG,사직,22669
2025/05/07,수,한화,삼성,대전(신),17000
2025/05/09,금,키움,한화,고척,16000
2025/05/10,토,키움,한화,고척,16000
2025/05/10,토,SSG,KIA,문학,23000
2025/05/10,토,삼성,LG,대구,24000
2025/05/10,토,삼성,LG,대구,24000
2025/05/10,토,KT,롯데,수원,18700
2025/05/10,토,두산,NC,잠실,20206
2025/05/11,일,키움,한화,고척,16000
2025/05/11,일,SSG,KIA,문학,23000
2025/05/11,일,SSG,KIA,문학,23000
2025/05/11,일,삼성,LG,대구,24000
2025/05/11,일,KT,롯데,수원,18700
2025/05/11,일,KT,롯데,수원,14470
2025/05/11,일,두산,NC,잠실,19366
2025/05/11,일,두산,NC,잠실,9172
2025/05/13,화,삼성,KT,포항,10758
2025/05/13,화,KIA,롯데,광주,16824
2025/05/13,화,SSG,NC,문학,12746
2025/05/13,화,한화,두산,대전(신),17000
2025/05/13,화,LG,키움,잠실,18080
2025/05/14,수,삼성,KT,포항,12120
2025/05/14,수,KIA,롯데,광주,18641
2025/05/14,수,SSG,NC,문학,11409
2025/05/14,수,한화,두산,대전(신),17000
2025/05/14,수,LG,키움,잠실,18286
2025/05/15,목,삼성,KT,포항,12120
2025/05/15,목,KIA,롯데,광주,17452
2025/05/15,목,SSG,NC,문학,10081
2025/05/15,목,한화,두산,대전(신),17000
2025/05/15,목,LG,키움,잠실,18119
2025/05/17,토,LG,KT,잠실,22963
2025/05/17,토,LG,KT,잠실,17811
2025/05/17,토,KIA,두산,광주,16854
2025/05/17,토,KIA,두산,광주,20500
2025/05/17,토,한화,SSG,대전(신),17000
2025/05/17,토,한화,SSG,대전(신),17000
2025/05/17,토,롯데,삼성,사직,22669
2025/05/17,토,롯데,삼성,사직,22669
2025/05/17,토,NC,키움,울산,2297
2025/05/17,토,NC,키움,울산,5513
2025/05/18,일,LG,KT,잠실,23029
2025/05/18,일,KIA,두산,광주,20500
2025/05/18,일,한화,SSG,대전(신),17000
2025/05/18,일,롯데,삼성,사직,22669
2025/05/18,일,NC,키움,울산,6456
2025/05/20,화,NC,한화,울산,4497
2025/05/20,화,KT,KIA,수원,16064
2025/05/20,화,롯데,LG,사직,22669
2025/05/20,화,두산,SSG,잠실,17782
2025/05/20,화,키움,삼성,고척,13106
2025/05/21,수,NC,한화,울산,4183
2025/05/21,수,KT,KIA,수원,16302
2025/05/21,수,롯데,LG,사직,22669
2025/05/21,수,두산,SSG,잠실,14052
2025/05/21,수,키움,삼성,고척,13193
2025/05/22,목,NC,한화,울산,5005
2025/05/22,목,KT,KIA,수원,16705
2025/05/22,목,롯데,LG,사직,22669
2025/05/22,목,두산,SSG,잠실,14592
2025/05/22,목,키움,삼성,고척,12926
2025/05/23,금,삼성,KIA,대구,24000
2025/05/23,금,키움,KT,고척,4239
2025/05/23,금,SSG,LG,문학,20150
2025/05/23,금,한화,롯데,대전(신),17000
2025/05/23,금,두산,NC,잠실,17944
2025/05/24,토,삼성,KIA,대구,24000
2025/05/24,토,키움,KT,고척,7315
2025/05/24,토,SSG,LG,문학,23000
2025/05/24,토,한화,롯데,대전(신),17000
2025/05/24,토,두산,NC,잠실,22279
2025/05/25,일,삼성,KIA,대구,24000
2025/05/25,일,키움,KT,고척,6809
2025/05/25,일,SSG,LG,문학,23000
2025/05/25,일,한화,롯데,대전(신),17000
2025/05/25,일,두산,NC,잠실,20534
2025/05/27,화,LG,한화,잠실,23750
2025/05/27,화,삼성,롯데,대구,24000
2025/05/27,화,SSG,NC,문학,12124
2025/05/27,화,KT,두산,수원,8355
2025/05/27,화,KIA,키움,광주,15351
2025/05/28,수,LG,한화,잠실,23750
2025/05/28,수,SSG,NC,문학,12747
2025/05/28,수,KT,두산,수원,8822
2025/05/28,수,KIA,키움,광주,16517
2025/05/29,목,LG,한화,잠실,23750
2025/05/29,목,삼성,롯데,대구,24000
2025/05/29,목,SSG,NC,문학,13466
2025/05/29,목,KT,두산,수원,9238
2025/05/29,목,KIA,키움,광주,18127
2025/05/30,금,NC,한화,창원,12395
2025/05/30,금,KT,KIA,수원,18700
2025/05/30,금,키움,두산,고척,9182
2025/05/30,금,롯데,SSG,사직,22669
2025/05/30,금,LG,삼성,잠실,23750
2025/05/31,토,NC,한화,창원,16741
2025/05/31,토,KT,KIA,수원,18700
2025/05/31,토,키움,두산,고척,13456
2025/05/31,토,롯데,SSG,사직,22669
2025/05/31,토,LG,삼성,잠실,23750
2025/06/01,일,NC,한화,창원,14906
2025/06/01,일,KT,KIA,수원,18700
2025/06/01,일,키움,두산,고척,12350
2025/06/01,일,롯데,SSG,사직,22669
2025/06/01,일,LG,삼성,잠실,23750
2025/06/03,화,두산,KIA,잠실,23750
2025/06/03,화,한화,KT,대전(신),17000
2025/06/03,화,NC,LG,창원,13937
2025/06/03,화,SSG,삼성,문학,23000
2025/06/03,화,롯데,키움,사직,22669
2025/06/04,수,두산,KIA,잠실,23750
2025/06/04,수,한화,KT,대전(신),17000
2025/06/04,수,NC,LG,창원,5235
2025/06/04,수,SSG,삼성,문학,15706
2025/06/04,수,롯데,키움,사직,22669
2025/06/05,목,두산,KIA,잠실,23750
2025/06/05,목,한화,KT,대전(신),17000
2025/06/05,목,NC,LG,창원,8957
2025/06/05,목,SSG,삼성,문학,19273
2025/06/05,목,롯데,키움,사직,22669
2025/06/06,금,KIA,한화,광주,20500
2025/06/06,금,키움,LG,고척,16000
2025/06/06,금,두산,롯데,잠실,23750
2025/06/06,금,삼성,NC,대구,24000
2025/06/06,금,KT,SSG,수원,18700
2025/06/07,토,KIA,한화,광주,20500
2025/06/07,토,키움,LG,고척,16000
2025/06/07,토,두산,롯데,잠실,23750
2025/06/07,토,삼성,NC,대구,24000
2025/06/07,토,KT,SSG,수원,16755
2025/06/08,일,KIA,한화,광주,18586
2025/06/08,일,키움,LG,고척,16000
2025/06/08,일,두산,롯데,잠실,23750
2025/06/08,일,삼성,NC,대구,24000
2025/06/08,일,KT,SSG,수원,13026
2025/06/10,화,KT,롯데,수원,10809
2025/06/10,화,키움,NC,고척,4004
2025/06/10,화,한화,두산,대전(신),16691
2025/06/10,화,LG,SSG,잠실,17221
2025/06/10,화,KIA,삼성,광주,15887
2025/06/11,수,KT,롯데,수원,11777
2025/06/11,수,키움,NC,고척,4034
2025/06/11,수,한화,두산,대전(신),17000
2025/06/11,수,LG,SSG,잠실,18192
2025/06/11,수,KIA,삼성,광주,17320
2025/06/12,목,KT,롯데,수원,12378
2025/06/12,목,키움,NC,고척,4410
2025/06/12,목,한화,두산,대전(신),17000
2025/06/12,목,LG,SSG,잠실,18321
2025/06/12,목,KIA,삼성,광주,16761
2025/06/13,금,NC,KIA,창원,8362
2025/06/14,토,NC,KIA,창원,15000
2025/06/14,토,삼성,KT,대구,24000
2025/06/14,토,한화,LG,대전(신),17000
2025/06/14,토,SSG,롯데,문학,23000
2025/06/14,토,두산,키움,잠실,18390
2025/06/15,일,NC,KIA,창원,12470
2025/06/15,일,삼성,KT,대구,24000
2025/06/15,일,한화,LG,대전(신),17000
2025/06/15,일,SSG,롯데,문학,20960
2025/06/15,일,두산,키움,잠실,11744
2025/06/17,화,롯데,한화,사직,22669
2025/06/17,화,KIA,KT,광주,10596
2025/06/17,화,LG,NC,잠실,15069
2025/06/17,화,삼성,두산,대구,23044
2025/06/17,화,키움,SSG,고척,6205
2025/06/18,수,롯데,한화,사직,22669
2025/06/18,수,KIA,KT,광주,16311
2025/06/18,수,LG,NC,잠실,16103
2025/06/18,수,삼성,두산,대구,23385
2025/06/18,수,키움,SSG,고척,6941
2025/06/19,목,롯데,한화,사직,22669
2025/06/19,목,KIA,KT,광주,14079
2025/06/19,목,LG,NC,잠실,15636
2025/06/19,목,삼성,두산,대구,23355
2025/06/19,목,키움,SSG,고척,7032
2025/06/20,금,롯데,삼성,사직,21911
2025/06/21,토,SSG,KIA,문학,23000
2025/06/21,토,KT,NC,수원,13680
2025/06/21,토,LG,두산,잠실,23750
2025/06/22,일,SSG,KIA,문학,23000
2025/06/22,일,KT,NC,수원,12059
2025/06/22,일,LG,두산,잠실,23750
2025/06/22,일,롯데,삼성,사직,22669
2025/06/22,일,한화,키움,대전(신),17000
2025/06/24,화,키움,KIA,고척,16000
2025/06/24,화,KT,LG,수원,9335
2025/06/24,화,두산,SSG,잠실,12141
2025/06/25,수,삼성,한화,대구,24000
2025/06/25,수,키움,KIA,고척,16000
2025/06/25,수,NC,롯데,창원,15587
2025/06/26,목,삼성,한화,대구,24000
2025/06/26,목,키움,KIA,고척,16000
2025/06/26,목,KT,LG,수원,13365
2025/06/26,목,NC,롯데,창원,16335
2025/06/26,목,두산,SSG,잠실,13553
2025/06/27,금,SSG,한화,문학,23000
2025/06/27,금,LG,KIA,잠실,23750
2025/06/27,금,롯데,KT,사직,22669
2025/06/27,금,NC,두산,창원,8025
2025/06/27,금,키움,삼성,고척,16000
2025/06/28,토,SSG,한화,문학,23183
2025/06/28,토,LG,KIA,잠실,23750
2025/06/28,토,롯데,KT,사직,22669
2025/06/28,토,NC,두산,창원,12961
2025/06/28,토,키움,삼성,고척,16000
2025/06/29,일,SSG,한화,문학,23000
2025/06/29,일,LG,KIA,잠실,23750
2025/06/29,일,롯데,KT,사직,22669
2025/06/29,일,NC,두산,창원,9894
2025/06/29,일,키움,삼성,고척,16000
2025/07/01,화,롯데,LG,사직,19627
2025/07/01,화,한화,NC,대전(신),17000
2025/07/01,화,KIA,SSG,광주,11782
2025/07/01,화,두산,삼성,잠실,18022
2025/07/01,화,KT,키움,수원,5616
2025/07/02,수,롯데,LG,사직,20661
2025/07/02,수,한화,NC,대전(신),17000
2025/07/02,수,KIA,SSG,광주,11827
2025/07/02,수,두산,삼성,잠실,20448
2025/07/02,수,KT,키움,수원,6787
2025/07/03,목,롯데,LG,사직,21914
2025/07/03,목,한화,NC,대전(신),17000
2025/07/03,목,KIA,SSG,광주,13013
2025/07/03,목,두산,삼성,잠실,21525
2025/07/03,목,KT,키움,수원,8540
2025/07/04,금,키움,한화,고척,16000
2025/07/04,금,두산,KT,잠실,16101
2025/07/04,금,삼성,LG,대구,24000
2025/07/04,금,KIA,롯데,광주,20500
2025/07/04,금,NC,SSG,창원,11147
2025/07/05,토,키움,한화,고척,16000
2025/07/05,토,두산,KT,잠실,19774
2025/07/05,토,삼성,LG,대구,24000
2025/07/05,토,KIA,롯데,광주,20500
2025/07/05,토,NC,SSG,창원,12028
2025/07/06,일,키움,한화,고척,16000
2025/07/06,일,두산,KT,잠실,23750
2025/07/06,일,삼성,LG,대구,24000
2025/07/06,일,KIA,롯데,광주,20500
2025/07/06,일,NC,SSG,창원,7726
2025/07/08,화,한화,KIA,대전(신),17000
2025/07/08,화,SSG,KT,문학,10812
2025/07/08,화,롯데,두산,사직,18541
2025/07/08,화,NC,삼성,창원,8294
2025/07/08,화,LG,키움,잠실,16098
2025/07/09,수,한화,KIA,대전(신),17000
2025/07/09,수,SSG,KT,문학,10259
2025/07/09,수,롯데,두산,사직,19071
2025/07/09,수,NC,삼성,창원,9220
2025/07/09,수,LG,키움,잠실,16400
2025/07/10,목,한화,KIA,대전(신),17000
2025/07/10,목,SSG,KT,문학,10817
2025/07/10,목,롯데,두산,사직,21199
2025/07/10,목,NC,삼성,창원,10106
2025/07/10,목,LG,키움,잠실,16628
